Название,Номер штрих кода,Картинки товара,Состав
"Моя Прелесть Шампунь-кондиционер 2в1 для детей «Фруктовый микс», 500 мл",4600104029394,https://basket-10.wbbasket.ru/vol1578/part157889/157889172/images/big/1.webp / https://basket-10.wbbasket.ru/vol1578/part157889/157889172/images/big/3.webp / https://basket-10.wbbasket.ru/vol1578/part157889/157889172/images/big/5.webp,"Aqua, Sodium laureth sulfate, cocamidopropyl betaine, cocamide DEA, laureth-6, disodium laureth sulfosuccinate, sodium chloride, parfum, laurdimonium hydroxypropyl hydrolyzed wheat protein, DMDM-hydantoin, methylchloroisothiazolinone, methylisothiazolinone, polyquaternium-10, citric acid, panthenol, butylene glycol, chamomilla recutita (matricaria) flower extract, equisetum arvense extract, salvia officinalis (sage) leaf extract, rosmarinus officinalis (rosemary) leaf extract, urtica dioica (nettle) extract, melissa officinalis (balm mint) leaf extract, humulus lupulus (hops) extract."
Женский шампунь для волос профессиональный 500 мл,4650056497352,https://basket-06.wbbasket.ru/vol1022/part102292/102292856/images/big/7.webp / https://basket-06.wbbasket.ru/vol1022/part102292/102292856/images/big/6.webp / https://basket-06.wbbasket.ru/vol1022/part102292/102292856/images/big/13.webp,"Aqua, Sodium Laureth Sulfate, Cocamide DEA, Cocamidopropyl Betaine, Sodium Chloride; Disodium Laureth Sulfosuccinate, Glycol Distearate, Laureth-4EO, Betaine, Parfum; Polyquaternium-39, Niacinamide, Calcium Pantothenate; Sodium Ascorbyl Phosphate, Tocopheryl Acetate, Pyridoxine Hydrochloride; Maltodextrin, Sodium Starch Octenylsuccinate, Leontopodium Alpinum Flower / Leaf Extract; Hyaluronic Acid, Methylchloroisothiazolinone, Methylisothiazolinone; Citric Acid, Punica Granatum Fruit Extract, Camellia Sinensis Leaf Extract; Vitis Vinifera Seed Oil, Prunus Amygdalus Dulcis Seed Extract, Bambusa Vulgaris Shoot Extract"
"DEONICA FOR MEN Гель для душа Active Sport, 250 мл",4600104036231,https://basket-10.wbbasket.ru/vol1444/part144471/144471487/images/big/2.webp / https://basket-10.wbbasket.ru/vol1444/part144471/144471487/images/big/4.webp / https://basket-10.wbbasket.ru/vol1444/part144471/144471487/images/big/8.webp,"Aqua, Sodium Laureth Sulfate, Cocamide DEA, Cocamidopropyl Betaine, Glycerin; Disodium Laureth Sulfosuccinate, Paullinia cupana extract, Allantoin, Parfum, Taurine; odium Chloride, Citric acid, Methylchloroisothiazolinone, Methylisothiazolinone; limonene, linalool, ci 19140, ci 42090"
Mosquitall Комплект от комаров «Универсальная защита»: электрофумигатор + жидкость 45 ночей,4650056490797,https://basket-05.wbbasket.ru/vol861/part86112/86112641/images/big/1.webp / https://basket-05.wbbasket.ru/vol861/part86112/86112641/images/big/2.webp / https://basket-05.wbbasket.ru/vol861/part86112/86112641/images/big/4.webp ,"Трансфлутрин (1,05%), синергист пиперонилбутоксид (1,1%), стабилизатор Агидол, углеводородные растворители, функциональные добавки и отдушка."
"ЛИРА Антистатик Нейтральный запах, 200 мл",4600104020025,https://basket-03.wbbasket.ru/vol344/part34415/34415656/images/big/3.webp / https://basket-03.wbbasket.ru/vol344/part34415/34415656/images/big/4.webp / https://basket-03.wbbasket.ru/vol344/part34415/34415656/images/big/5.webp,"спирт этиловый денатурированный (более 30%), углеводородный пропеллент (более 30%), ПАВ (менее 5%), антистатическая добавка (менее 5%)."
Сухой шампунь для волос Next Generation «My Lovely» 150 мл,4660222721075,https://basket-10.wbbasket.ru/vol1530/part153017/153017545/images/big/1.webp / https://basket-10.wbbasket.ru/vol1530/part153017/153017545/images/c246x328/3.webp / https://basket-10.wbbasket.ru/vol1530/part153017/153017545/images/big/4.webp,"Isobutane, Alcohol Denat., Oryza Sativa (Rice) Starch, Propane, Butane; Cetrimonium Chloride, Talc, Silica, Parfum, PEG-12 Dimethicone, Tocopherol"
"Моя Прелесть Голубая пенка-мусс ПРИКЛЮЧЕНИЯ ПИРАТОВ, 200 мл.",4600104037948,https://basket-10.wbbasket.ru/vol1546/part154683/154683364/images/big/1.webp / https://basket-10.wbbasket.ru/vol1546/part154683/154683364/images/big/2.webp / https://basket-10.wbbasket.ru/vol1546/part154683/154683364/images/big/3.webp,"	
Aqua, Isobutane, Butane, Propane, Glycerin, Stearic Acid; Triethanolamine, Laureth-23, Parfum, Phenoxyethanol, Ethylhexylglycerin; Panthenol, Citric Acid, Tocopheryl Acetate; Propylene Glycol, Chamomilla Recutita Flower Extract, CI 42090"
"Дихлофос НЕО Приманка для тараканов и муравьев, 4 шт",4650056492241,https://basket-02.wbbasket.ru/vol267/part26784/26784086/images/big/1.webp / https://basket-02.wbbasket.ru/vol267/part26784/26784086/images/big/2.webp / https://basket-02.wbbasket.ru/vol267/part26784/26784086/images/big/3.webp,"Лямбда-цигалотрин (0,1%), вода питьевая (>30%), глицерин (5–15%), изопропилмиристат, триэтаноламин, карбопол, вкусо-ароматические добавки, цикломат натрия, консервант, битрекс (все <5%)."
"Дихлофос НЕО Универсальное средство от насекомых, 600 мл",4600104032257,https://basket-05.wbbasket.ru/vol864/part86498/86498603/images/big/1.webp / https://basket-05.wbbasket.ru/vol864/part86498/86498603/images/big/2.webp / https://basket-05.wbbasket.ru/vol864/part86498/86498603/images/big/3.webp,"Циперметрин, перметрин, тетраметрин, синергист ППБ, спирт этиловый, отдушка и углеводородный пропеллент."
"Чудо-пена для стекол и зеркал Barfin, с ароматом мяты",4660222723604,https://basket-16.wbbasket.ru/vol2414/part241480/241480938/images/big/1.webp / https://basket-16.wbbasket.ru/vol2414/part241480/241480938/images/c246x328/2.webp / https://basket-16.wbbasket.ru/vol2414/part241480/241480938/images/big/3.webp,"	
< 5 %: кислота лимонная, отдушка, нитрит натрия, неионогенные поверхностно-активные вещества; гидроксид аммония; ≥ 5 %, но < 15 %: спирт изопропиловый, алифатические углеводороды (пропан, бутан, изобутан); ≥ 30 % – вода"
"Дивидик Крем самоблеск для обуви в банке с намазком черный, 55 мл",4600104028922,https://basket-08.wbbasket.ru/vol1150/part115091/115091386/images/c246x328/2.webp / https://basket-08.wbbasket.ru/vol1150/part115091/115091386/images/big/1.webp / https://basket-08.wbbasket.ru/vol1150/part115091/115091386/images/big/3.webp,"< 5 %: краситель, отдушка, консервант, эмульгатор; > 5 % — < 15 %: воск, растворитель; > 30 % — вода."